type,scale,correctSum,predictSum,gtSum,precision,recall,f1 score,FP,timeMean
IOU,1.1,593486,619439,621126,0.9581024120212,0.955500172267785,0.95679952279808,25953,0.014055861536781
eye then iou,1.1,603092,619439,621126,0.973609992267197,0.970965633381955,0.972286014840012,16347,0.017012815463979
