type,scale,correctSum,predictSum,gtSum,precision,recall,f1 score,FP,timeMean
orignal,1.1,618881,736512,621126,0.8402863768682656,0.9963855964812293,0.9117025304241633,117631,0.014228235727808023
orignal,1.1,598042,619439,621126,0.9654574542448894,0.9628352379388401,0.9641445631627525,21397,0.017104370408940358
